# wavelength flux
4003.3180100765 0.9994520439
4003.3246866652 0.9995647919
4003.3313632651 0.9999422872
4003.3380398761 0.9997991977
4003.3447164983 0.9992359769
4003.3513931316 0.9995426555
4003.3580697760 1.0001048865
4003.3647464316 1.0005692739
4003.3714230983 0.9999699192
4003.3780997761 1.0002181236
4003.3847764651 1.0006538823
4003.3914531652 1.0000316416
4003.3981298764 0.9998539407
4003.4048065988 0.9998084725
4003.4114833323 1.0000642527
4003.4181600769 0.9998771782
4003.4248368327 0.9998869231
4003.4315135996 1.0000497515
4003.4381903777 1.0002744707
4003.4448671669 1.0003375815
4003.4515439672 1.0000667734
4003.4582207786 1.0000151553
4003.4648976012 0.9991769596
4003.4715744350 0.9994031576
4003.4782512798 1.0001002515
4003.4849281358 0.9995651186
4003.4916050029 0.9991644627
4003.4982818812 0.9995683916
4003.5049587706 0.9996260384
4003.5116356711 1.0000315665
4003.5183125828 1.0002842333
4003.5249895056 1.0001731477
4003.5316664396 0.9998757409
4003.5383433846 0.9998062968
4003.5450203409 0.9999022136
4003.5516973082 1.0000846962
4003.5583742867 0.9997656195
4003.5650512763 0.9998557994
4003.5717282771 0.9992336064
4003.5784052890 0.9984761723
4003.5850823120 0.9988926452
4003.5917593462 0.9990189382
4003.5984363915 0.9991593617
4003.6051134479 0.9989432381
4003.6117905155 0.9994163735
4003.6184675942 0.9999198500
4003.6251446840 0.9992841523
4003.6318217850 0.9988886410
4003.6384988971 0.9991682851
4003.6451760204 0.9990161134
4003.6518531548 0.9990398239
4003.6585303003 0.9997012512
4003.6652074569 0.9999111520
4003.6718846247 1.0001622162
4003.6785618037 0.9998090169
4003.6852389937 0.9994845490
4003.6919161949 0.9997592108
4003.6985934073 1.0001152235
4003.7052706307 0.9998410355
4003.7119478654 0.9992973343
4003.7186251111 0.9990890974
4003.7253023680 0.9994034055
4003.7319796360 0.9996933423
4003.7386569152 1.0000176034
4003.7453342055 0.9998910157
4003.7520115069 0.9989685758
4003.7586888194 0.9993034328
4003.7653661431 0.9996936968
4003.7720434780 0.9997679952
4003.7787208239 0.9999574480
4003.7853981811 0.9993949357
4003.7920755493 0.9987922029
4003.7987529287 0.9988873140
4003.8054303192 0.9989197308
4003.8121077208 0.9995586422
4003.8187851336 0.9993680338
4003.8254625576 0.9994219953
4003.8321399926 0.9989440197
4003.8388174388 0.9993610340
4003.8454948962 0.9992364654
4003.8521723646 0.9988601727
4003.8588498442 0.9985164282
4003.8655273350 0.9987298877
4003.8722048369 0.9989107245
4003.8788823499 0.9982420384
4003.8855598740 0.9981034152
4003.8922374093 0.9986278545
4003.8989149558 0.9983973150
4003.9055925133 0.9984929966
4003.9122700820 0.9984312724
4003.9189476619 0.9982532618
4003.9256252528 0.9975842946
4003.9323028549 0.9966240772
4003.9389804682 0.9962210755
4003.9456580926 0.9965088178
4003.9523357281 0.9964814279
4003.9590133747 0.9963083656
4003.9656910325 0.9970999501
4003.9723687015 0.9978611658
4003.9790463815 0.9974981667
4003.9857240727 0.9971046715
4003.9924017751 0.9972939732
4003.9990794886 0.9972120391
4004.0057572132 0.9966744804
4004.0124349489 0.9967381949
4004.0191126958 0.9968381612
4004.0257904538 0.9969011261
4004.0324682230 0.9966703818
4004.0391460033 0.9969468863
4004.0458237947 0.9974327724
4004.0525015973 0.9969132451
4004.0591794110 0.9964546249
4004.0658572359 0.9958846728
4004.0725350718 0.9956851892
4004.0792129190 0.9953225675
4004.0858907772 0.9962038857
4004.0925686466 0.9961339367
4004.0992465271 0.9959305078
4004.1059244188 0.9962793658
4004.1126023216 0.9960461511
4004.1192802356 0.9958037748
4004.1259581606 0.9956644782
4004.1326360969 0.9955821242
4004.1393140442 0.9955882309
4004.1459920027 0.9959055139
4004.1526699723 0.9951759794
4004.1593479531 0.9949332605
4004.1660259450 0.9952427844
4004.1727039481 0.9955742297
4004.1793819622 0.9956676590
4004.1860599875 0.9952030820
4004.1927380240 0.9954074089
4004.1994160716 0.9953120598
4004.2060941303 0.9954073271
4004.2127722002 0.9951635031
4004.2194502812 0.9944595803
4004.2261283733 0.9947502976
4004.2328064766 0.9948411860
4004.2394845910 0.9949914634
4004.2461627166 0.9949489668
4004.2528408533 0.9950155061
4004.2595190011 0.9952618872
4004.2661971601 0.9954106272
4004.2728753302 0.9951861668
4004.2795535114 0.9945815840
4004.2862317038 0.9945685114
4004.2929099073 0.9946011262
4004.2995881220 0.9941178300
4004.3062663477 0.9937904344
4004.3129445847 0.9940196971
4004.3196228327 0.9944401899
4004.3263010919 0.9940361715
4004.3329793623 0.9942671890
4004.3396576438 0.9945089641
4004.3463359364 0.9945499034
4004.3530142401 0.9942724229
4004.3596925550 0.9936162183
4004.3663708811 0.9941531200
4004.3730492182 0.9937730789
4004.3797275665 0.9933712547
4004.3864059260 0.9938658509
4004.3930842966 0.9937063770
4004.3997626783 0.9938108576
4004.4064410712 0.9942134994
4004.4131194752 0.9938044146
4004.4197978903 0.9937685121
4004.4264763166 0.9933694652
4004.4331547540 0.9934207820
4004.4398332025 0.9931685624
4004.4465116622 0.9929659870
4004.4531901330 0.9928406004
4004.4598686150 0.9928415432
4004.4665471081 0.9931461597
4004.4732256123 0.9929935465
4004.4799041277 0.9931010529
4004.4865826542 0.9933164821
4004.4932611919 0.9932018874
4004.4999397407 0.9930659448
4004.5066183006 0.9923577218
4004.5132968717 0.9919281241
4004.5199754539 0.9922514206
4004.5266540472 0.9924950098
4004.5333326517 0.9928013420
4004.5400112673 0.9929123033
4004.5466898941 0.9927991149
4004.5533685320 0.9921911151
4004.5600471810 0.9922498156
4004.5667258412 0.9926379306
4004.5734045125 0.9925121758
4004.5800831950 0.9924805640
4004.5867618886 0.9922475746
4004.5934405933 0.9913070981
4004.6001193092 0.9907562224
4004.6067980362 0.9915726856
4004.6134767743 0.9923861638
4004.6201555236 0.9923242678
4004.6268342840 0.9917448080
4004.6335130556 0.9915518616
4004.6401918383 0.9907856854
4004.6468706321 0.9906095575
4004.6535494371 0.9908231083
4004.6602282532 0.9911613641
4004.6669070805 0.9913778150
4004.6735859189 0.9915726743
4004.6802647684 0.9913253714
4004.6869436291 0.9913197142
4004.6936225009 0.9909840212
4004.7003013838 0.9903978201
4004.7069802779 0.9894385090
4004.7136591831 0.9891912183
4004.7203380995 0.9898544210
4004.7270170270 0.9901351098
4004.7336959656 0.9904376770
4004.7403749154 0.9910144452
4004.7470538763 0.9912697114
4004.7537328484 0.9913227848
4004.7604118316 0.9908375270
4004.7670908259 0.9903349738
4004.7737698314 0.9896797957
4004.7804488480 0.9895640201
4004.7871278758 0.9897669357
4004.7938069147 0.9900160382
4004.8004859647 0.9904987650
4004.8071650259 0.9905282767
4004.8138440982 0.9903585914
4004.8205231816 0.9907892134
4004.8272022762 0.9905509700
4004.8338813820 0.9903399388
4004.8405604988 0.9899772327
4004.8472396268 0.9894903207
4004.8539187660 0.9898642666
4004.8605979163 0.9899738081
4004.8672770777 0.9898354162
4004.8739562502 0.9903137482
4004.8806354339 0.9900869949
4004.8873146288 0.9899248452
4004.8939938348 0.9899393969
4004.9006730519 0.9898651672
4004.9073522801 0.9896796556
4004.9140315195 0.9885841925
4004.9207107701 0.9888059541
4004.9273900318 0.9892963495
4004.9340693046 0.9899952347
4004.9407485885 0.9894752673
4004.9474278836 0.9892622478
4004.9541071899 0.9895980488
4004.9607865072 0.9893840370
4004.9674658357 0.9888171240
4004.9741451754 0.9889189258
4004.9808245262 0.9894398243
4004.9875038881 0.9894670268
4004.9941832612 0.9888158694
